Codigo;Designacao;Qtd;Armazem;CentroDeCusto;Caract;Obs;RefForn;EmbForn;Lote;PrzValidade;PTotal
110000102;;2615;1;;;;;;;;
110000198;;22;1;;;;;;;;
110000213;;874;1;;;;;;;;
110000237;;17;1;;;;;;;;
110000239;;36;1;;;;;;;;
110000259;;2397;1;;;;;;;;
110000355;;357;1;;;;;;;;
110000362;;19;1;;;;;;;;
110000531;;573;1;;;;;;;;
110000534;;923;1;;;;;;;;
110000583;;1143;1;;;;;;;;
110000601;;145;1;;;;;;;;
110000618;;18;1;;;;;;;;
110000667;;68;1;;;;;;;;
110000671;;170;1;;;;;;;;
110001154;;369;1;;;;;;;;
110001206;;623;1;;;;;;;;
110001242;;13;1;;;;;;;;
110001436;;255;1;;;;;;;;
110001444;;1623;1;;;;;;;;
110001457;;191;1;;;;;;;;
110001458;;132;1;;;;;;;;
110001497;;31;1;;;;;;;;
110001498;;32;1;;;;;;;;
110001745;;2;1;;;;;;;;
110001812;;62;1;;;;;;;;
110001822;;1;1;;;;;;;;
110001876;;67;1;;;;;;;;
110001908;;3;1;;;;;;;;
110001918;;1;1;;;;;;;;
110002012;;1956;1;;;;;;;;
110002227;;1836;1;;;;;;;;
110002367;;2;1;;;;;;;;
110002442;;89;1;;;;;;;;
110002445;;57;1;;;;;;;;
110002485;;722;1;;;;;;;;
110002514;;18;1;;;;;;;;
110003098;;67;1;;;;;;;;
110003305;;90;1;;;;;;;;
110003321;;5;1;;;;;;;;
110003372;;176;1;;;;;;;;
110003429;;15;1;;;;;;;;
110003556;;13;1;;;;;;;;
110003640;;113;1;;;;;;;;
110003737;;12;1;;;;;;;;
110003902;;48;1;;;;;;;;
110003925;;3;1;;;;;;;;
110004220;;4;1;;;;;;;;
110004334;;94;1;;;;;;;;
110004359;;2;1;;;;;;;;
110004788;;17;1;;;;;;;;
118008796;;136;1;;;;;;;;